PARAM_G,PARAM_D,PARAM_L,PARAM_P,PARAM_S,CORRECT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,participant,session,date,expName,psychopyVersion,frameRate,
E,E,E,E,E,z,14,3,171,5,,,z,1,0.8196292570000878,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,14,4,172,4,,,m,1,0.5193319600002724,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,14,5,173,3,,,m,1,0.6499280349999026,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,14,6,174,8,,,m,1,0.6414000629993097,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,14,7,175,2,,,m,1,0.5729278419994444,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,14,8,176,9,,,z,1,0.6871161070002927,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,14,9,177,6,,,m,1,1.4843593109999347,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,14,10,178,7,,,z,1,0.6552932859995053,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,14,11,179,1,,,z,1,0.7380127200003699,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,15,0,180,6,,,m,1,0.6457915889996002,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,15,1,181,3,,,m,1,0.6776415379999889,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,15,2,182,7,,,z,1,0.7163329160002831,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,15,3,183,4,,,m,1,0.8829291580004792,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,15,4,184,8,,,m,1,0.8308980809997593,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,15,5,185,11,,,z,1,0.6465349689997311,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,15,6,186,9,,,m,0,0.7589032029991358,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,15,7,187,1,,,z,1,0.7141653529997711,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,15,8,188,0,,,z,1,0.9511096539999926,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,15,9,189,5,,,z,1,0.6172920700000759,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,15,10,190,10,,,m,1,0.7501627840001674,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,15,11,191,2,,,m,1,0.6835931699997673,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,16,0,192,2,,,m,1,1.0636655770003927,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,16,1,193,9,,,z,1,0.6903243269998711,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,16,2,194,4,,,m,1,0.566883169999528,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,16,3,195,7,,,z,1,1.223151449999932,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,16,4,196,0,,,z,1,0.9958916359992145,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,16,5,197,8,,,m,1,0.6499743170006695,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,16,6,198,10,,,m,1,0.5449067990002732,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,16,7,199,11,,,z,1,1.4503494850005154,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,16,8,200,3,,,m,1,0.7947429030000421,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,16,9,201,6,,,m,1,0.9222884830005569,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,16,10,202,1,,,z,1,0.8504266150002877,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,16,11,203,5,,,z,1,0.9842048170003181,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
